date,INTL_DE2Y
2001-01-05,4.206
2001-01-12,4.476
2001-01-19,4.389
2001-01-26,4.535
2001-02-02,4.42
2001-02-09,4.422
2001-02-16,4.491
2001-02-23,4.485
2001-03-02,4.397
2001-03-09,4.4
2001-03-16,4.202
2001-03-23,4.094
2001-03-30,4.138
2001-04-06,4.125
2001-04-13,4.408
2001-04-20,4.446
2001-04-27,4.49
2001-05-04,4.506
2001-05-11,4.262
2001-05-18,4.373
2001-05-25,4.376
2001-06-01,4.319
2001-06-08,4.328
2001-06-15,4.31
2001-06-22,4.218
2001-06-29,4.281
2001-07-06,4.313
2001-07-13,4.283
2001-07-20,4.223
2001-07-27,4.152
2001-08-03,4.126
2001-08-10,4.013
2001-08-17,3.963
2001-08-24,4.07
2001-08-31,3.947
2001-09-07,3.93
2001-09-14,3.565
2001-09-21,3.485
2001-09-28,3.481
2001-10-05,3.329
2001-10-12,3.437
2001-10-19,3.357
2001-10-26,3.284
2001-11-02,3.104
2001-11-09,3.061
2001-11-16,3.408
2001-11-23,3.519
2001-11-30,3.387
2001-12-07,3.701
2001-12-14,3.588
2001-12-21,3.593
2001-12-28,3.644
2002-01-04,3.677
2002-01-11,3.716
2002-01-18,3.71
2002-01-25,3.958
2002-02-01,3.884
2002-02-08,3.829
2002-02-15,3.839
2002-02-22,3.826
2002-03-01,3.902
2002-03-08,4.117
2002-03-15,4.249
2002-03-22,4.32
2002-03-29,4.334
2002-04-05,4.173
2002-04-12,4.139
2002-04-19,4.162
2002-04-26,4.031
2002-05-03,4.1
2002-05-10,4.209
2002-05-17,4.351
2002-05-24,4.221
2002-05-31,4.247
2002-06-07,4.176
2002-06-14,4.011
2002-06-21,4.025
2002-06-28,3.925
2002-07-05,3.99
2002-07-12,3.853
2002-07-19,3.803
2002-07-26,3.608
2002-08-02,3.446
2002-08-09,3.452
2002-08-16,3.621
2002-08-23,3.614
2002-08-30,3.477
2002-09-06,3.215
2002-09-13,3.267
2002-09-20,3.188
2002-09-27,3.191
2002-10-04,3.033
2002-10-11,3.188
2002-10-18,3.274
2002-10-25,3.251
2002-11-01,3.108
2002-11-08,3.06
2002-11-15,3.05
2002-11-22,3.07
2002-11-29,3.1
2002-12-06,2.995
2002-12-13,2.851
2002-12-20,2.814
2002-12-27,2.722
2003-01-03,2.798
2003-01-10,2.684
2003-01-17,2.628
2003-01-24,2.573
2003-01-31,2.596
2003-02-07,2.49
2003-02-14,2.441
2003-02-21,2.421
2003-02-28,2.295
2003-03-07,2.244
2003-03-14,2.481
2003-03-21,2.642
2003-03-28,2.503
2003-04-04,2.492
2003-04-11,2.548
2003-04-18,2.585
2003-04-25,2.453
2003-05-02,2.411
2003-05-09,2.316
2003-05-16,2.209
2003-05-23,2.096
2003-05-30,2.116
2003-06-06,2.025
2003-06-13,1.888
2003-06-20,2.032
2003-06-27,2.179
2003-07-04,2.105
2003-07-11,2.138
2003-07-18,2.27
2003-07-25,2.278
2003-08-01,2.643
2003-08-08,2.42
2003-08-15,2.54
2003-08-22,2.62
2003-08-29,2.593
2003-09-05,2.56
2003-09-12,2.442
2003-09-19,2.415
2003-09-26,2.348
2003-10-03,2.568
2003-10-10,2.533
2003-10-17,2.7
2003-10-24,2.634
2003-10-31,2.686
2003-11-07,2.843
2003-11-14,2.671
2003-11-21,2.592
2003-11-28,2.812
2003-12-05,2.659
2003-12-12,2.677
2003-12-19,2.642
2003-12-26,2.606
2004-01-02,2.616
2004-01-09,2.407
2004-01-16,2.437
2004-01-23,2.355
2004-01-30,2.524
2004-02-06,2.362
2004-02-13,2.315
2004-02-20,2.348
2004-02-27,2.215
2004-03-05,2.179
2004-03-12,2.157
2004-03-19,2.106
2004-03-26,2.083
2004-04-02,2.366
2004-04-09,2.281
2004-04-16,2.361
2004-04-23,2.428
2004-04-30,2.439
2004-05-07,2.582
2004-05-14,2.567
2004-05-21,2.539
2004-05-28,2.532
2004-06-04,2.635
2004-06-11,2.752
2004-06-18,2.694
2004-06-25,2.719
2004-07-02,2.638
2004-07-09,2.609
2004-07-16,2.572
2004-07-23,2.658
2004-07-30,2.626
2004-08-06,2.457
2004-08-13,2.43
2004-08-20,2.435
2004-08-27,2.451
2004-09-03,2.6
2004-09-10,2.566
2004-09-17,2.562
2004-09-24,2.597
2004-10-01,2.579
2004-10-08,2.506
2004-10-15,2.435
2004-10-22,2.416
2004-10-29,2.429
2004-11-05,2.493
2004-11-12,2.364
2004-11-19,2.441
2004-11-26,2.331
2004-12-03,2.328
2004-12-10,2.326
2004-12-17,2.405
2004-12-24,2.429
2004-12-31,2.481
2005-01-07,2.439
2005-01-14,2.392
2005-01-21,2.401
2005-01-28,2.391
2005-02-04,2.402
2005-02-11,2.377
2005-02-18,2.484
2005-02-25,2.493
2005-03-04,2.428
2005-03-11,2.435
2005-03-18,2.538
2005-03-25,2.59
2005-04-01,2.467
2005-04-08,2.412
2005-04-15,2.35
2005-04-22,2.312
2005-04-29,2.248
2005-05-06,2.267
2005-05-13,2.234
2005-05-20,2.272
2005-05-27,2.179
2005-06-03,2.114
2005-06-10,2.082
2005-06-17,2.176
2005-06-24,2.035
2005-07-01,2.066
2005-07-08,2.146
2005-07-15,2.225
2005-07-22,2.186
2005-07-29,2.25
2005-08-05,2.334
2005-08-12,2.265
2005-08-19,2.197
2005-08-26,2.225
2005-09-02,2.131
2005-09-09,2.173
2005-09-16,2.25
2005-09-23,2.267
2005-09-30,2.394
2005-10-07,2.461
2005-10-14,2.487
2005-10-21,2.483
2005-10-28,2.623
2005-11-04,2.7
2005-11-11,2.733
2005-11-18,2.829
2005-11-25,2.717
2005-12-02,2.642
2005-12-09,2.793
2005-12-16,2.829
2005-12-23,2.882
2005-12-30,2.862
2006-01-06,2.765
2006-01-13,2.841
2006-01-20,2.903
2006-01-27,2.937
2006-02-03,2.956
2006-02-10,2.918
2006-02-17,2.896
2006-02-24,2.997
2006-03-03,3.111
2006-03-10,3.194
2006-03-17,3.232
2006-03-24,3.175
2006-03-31,3.29
2006-04-07,3.265
2006-04-14,3.323
2006-04-21,3.314
2006-04-28,3.379
2006-05-05,3.394
2006-05-12,3.409
2006-05-19,3.302
2006-05-26,3.264
2006-06-02,3.338
2006-06-09,3.355
2006-06-16,3.385
2006-06-23,3.539
2006-06-30,3.574
2006-07-07,3.605
2006-07-14,3.52
2006-07-21,3.527
2006-07-28,3.512
2006-08-04,3.547
2006-08-11,3.611
2006-08-18,3.63
2006-08-25,3.512
2006-09-01,3.525
2006-09-08,3.637
2006-09-15,3.661
2006-09-22,3.547
2006-09-29,3.585
2006-10-06,3.603
2006-10-13,3.68
2006-10-20,3.698
2006-10-27,3.72
2006-11-03,3.718
2006-11-10,3.692
2006-11-17,3.711
2006-11-24,3.675
2006-12-01,3.627
2006-12-08,3.725
2006-12-15,3.803
2006-12-22,3.859
2006-12-29,3.903
2007-01-05,3.925
2007-01-12,3.95
2007-01-19,3.961
2007-01-26,3.969
2007-02-02,3.913
2007-02-09,3.967
2007-02-16,3.955
2007-02-23,3.968
2007-03-02,3.833
2007-03-09,3.938
2007-03-16,3.909
2007-03-23,3.96
2007-03-30,4.016
2007-04-06,4.039
2007-04-13,4.141
2007-04-20,4.135
2007-04-27,4.17
2007-05-04,4.164
2007-05-11,4.171
2007-05-18,4.275
2007-05-25,4.343
2007-06-01,4.434
2007-06-08,4.47
2007-06-15,4.505
2007-06-22,4.463
2007-06-29,4.462
2007-07-06,4.537
2007-07-13,4.517
2007-07-20,4.417
2007-07-27,4.27
2007-08-03,4.278
2007-08-10,4.213
2007-08-17,3.961
2007-08-24,4.024
2007-08-31,4.013
2007-09-07,3.913
2007-09-14,3.986
2007-09-21,4.057
2007-09-28,4.028
2007-10-05,4.023
2007-10-12,4.196
2007-10-19,3.996
2007-10-26,3.948
2007-11-02,3.944
2007-11-09,3.813
2007-11-16,3.798
2007-11-23,3.645
2007-11-30,3.831
2007-12-07,3.908
2007-12-14,4.044
2007-12-21,3.969
2007-12-28,3.977
2008-01-04,3.731
2008-01-11,3.728
2008-01-18,3.476
2008-01-25,3.457
2008-02-01,3.376
2008-02-08,3.089
2008-02-15,3.117
2008-02-22,3.336
2008-02-29,3.16
2008-03-07,3.267
2008-03-14,3.246
2008-03-21,3.27
2008-03-28,3.465
2008-04-04,3.486
2008-04-11,3.41
2008-04-18,3.832
2008-04-25,3.856
2008-05-02,3.828
2008-05-09,3.699
2008-05-16,3.977
2008-05-23,4.205
2008-05-30,4.316
2008-06-06,4.636
2008-06-13,4.621
2008-06-20,4.605
2008-06-27,4.443
2008-07-04,4.405
2008-07-11,4.413
2008-07-18,4.54
2008-07-25,4.419
2008-08-01,4.263
2008-08-08,4.055
2008-08-15,4.001
2008-08-22,4.133
2008-08-29,4.111
2008-09-05,3.968
2008-09-12,3.963
2008-09-19,4.003
2008-09-26,3.662
2008-10-03,3.284
2008-10-10,3.038
2008-10-17,2.953
2008-10-24,2.667
2008-10-31,2.542
2008-11-07,2.411
2008-11-14,2.22
2008-11-21,2.091
2008-11-28,2.188
2008-12-05,2.054
2008-12-12,2.251
2008-12-19,1.83
2008-12-26,1.745
2009-01-02,1.727
2009-01-09,1.511
2009-01-16,1.478
2009-01-23,1.429
2009-01-30,1.532
2009-02-06,1.394
2009-02-13,1.31
2009-02-20,1.309
2009-02-27,1.311
2009-03-06,1.176
2009-03-13,1.331
2009-03-20,1.319
2009-03-27,1.312
2009-04-03,1.506
2009-04-10,1.386
2009-04-17,1.467
2009-04-24,1.376
2009-05-01,1.329
2009-05-08,1.305
2009-05-15,1.259
2009-05-22,1.308
2009-05-29,1.419
2009-06-05,1.674
2009-06-12,1.682
2009-06-19,1.453
2009-06-26,1.324
2009-07-03,1.237
2009-07-10,1.199
2009-07-17,1.253
2009-07-24,1.324
2009-07-31,1.263
2009-08-07,1.581
2009-08-14,1.299
2009-08-21,1.375
2009-08-28,1.255
2009-09-04,1.094
2009-09-11,1.199
2009-09-18,1.288
2009-09-25,1.215
2009-10-02,1.204
2009-10-09,1.37
2009-10-16,1.416
2009-10-23,1.378
2009-10-30,1.288
2009-11-06,1.276
2009-11-13,1.198
2009-11-20,1.324
2009-11-27,1.25
2009-12-04,1.345
2009-12-11,1.26
2009-12-18,1.149
2009-12-25,1.188
2010-01-01,1.332
2010-01-08,1.244
2010-01-15,1.135
2010-01-22,1.112
2010-01-29,1.119
2010-02-05,0.989
2010-02-12,0.983
2010-02-19,1.086
2010-02-26,0.955
2010-03-05,1.0
2010-03-12,1.049
2010-03-19,1.003
2010-03-26,1.0
2010-04-02,0.955
2010-04-09,0.968
2010-04-16,0.889
2010-04-23,0.902
2010-04-30,0.771
2010-05-07,0.532
2010-05-14,0.556
2010-05-21,0.512
2010-05-28,0.519
2010-06-04,0.476
2010-06-11,0.464
2010-06-18,0.581
2010-06-25,0.569
2010-07-02,0.666
2010-07-09,0.768
2010-07-16,0.776
2010-07-23,0.749
2010-07-30,0.784
2010-08-06,0.746
2010-08-13,0.655
2010-08-20,0.61
2010-08-27,0.633
2010-09-03,0.641
2010-09-10,0.736
2010-09-17,0.774
2010-09-24,0.729
2010-10-01,0.853
2010-10-08,0.786
2010-10-15,0.814
2010-10-22,1.003
2010-10-29,0.989
2010-11-05,0.915
2010-11-12,1.024
2010-11-19,1.107
2010-11-26,0.928
2010-12-03,0.858
2010-12-10,1.078
2010-12-17,1.058
2010-12-24,0.943
2010-12-31,0.864
2011-01-07,0.866
2011-01-14,1.151
2011-01-21,1.289
2011-01-28,1.362
2011-02-04,1.435
2011-02-11,1.406
2011-02-18,1.396
2011-02-25,1.536
2011-03-04,1.76
2011-03-11,1.647
2011-03-18,1.629
2011-03-25,1.729
2011-04-01,1.817
2011-04-08,1.903
2011-04-15,1.842
2011-04-22,1.753
2011-04-29,1.767
2011-05-06,1.757
2011-05-13,1.774
2011-05-20,1.767
2011-05-27,1.559
2011-06-03,1.688
2011-06-10,1.534
2011-06-17,1.51
2011-06-24,1.352
2011-07-01,1.647
2011-07-08,1.449
2011-07-15,1.211
2011-07-22,1.383
2011-07-29,1.158
2011-08-05,0.76
2011-08-12,0.685
2011-08-19,0.642
2011-08-26,0.647
2011-09-02,0.515
2011-09-09,0.386
2011-09-16,0.507
2011-09-23,0.389
2011-09-30,0.547
2011-10-07,0.599
2011-10-14,0.659
2011-10-21,0.659
2011-10-28,0.601
2011-11-04,0.401
2011-11-11,0.399
2011-11-18,0.462
2011-11-25,0.456
2011-12-02,0.299
2011-12-09,0.315
2011-12-16,0.216
2011-12-23,0.22
2011-12-30,0.139
2012-01-06,0.163
2012-01-13,0.15
2012-01-20,0.205
2012-01-27,0.188
2012-02-03,0.201
2012-02-10,0.236
2012-02-17,0.25
2012-02-24,0.235
2012-03-02,0.158
2012-03-09,0.156
2012-03-16,0.331
2012-03-23,0.228
2012-03-30,0.204
2012-04-06,0.138
2012-04-13,0.124
2012-04-20,0.136
2012-04-27,0.099
2012-05-04,0.079
2012-05-11,0.088
2012-05-18,0.048
2012-05-25,0.044
2012-06-01,0.01
2012-06-08,0.04
2012-06-15,0.066
2012-06-22,0.133
2012-06-29,0.12
2012-07-06,-0.013
2012-07-13,-0.045
2012-07-20,-0.077
2012-07-27,-0.032
2012-08-03,-0.024
2012-08-10,-0.077
2012-08-17,-0.044
2012-08-24,-0.015
2012-08-31,-0.037
2012-09-07,0.03
2012-09-14,0.101
2012-09-21,0.032
2012-09-28,0.018
2012-10-05,0.055
2012-10-12,0.039
2012-10-19,0.109
2012-10-26,0.048
2012-11-02,0.003
2012-11-09,-0.036
2012-11-16,-0.036
2012-11-23,-0.005
2012-11-30,0.007
2012-12-07,-0.08
2012-12-14,-0.045
2012-12-21,-0.013
2012-12-28,-0.017
2013-01-04,0.073
2013-01-11,0.132
2013-01-18,0.181
2013-01-25,0.254
2013-02-01,0.245
2013-02-08,0.178
2013-02-15,0.184
2013-02-22,0.125
2013-03-01,0.027
2013-03-08,0.086
2013-03-15,0.044
2013-03-22,0.026
2013-03-29,-0.026
2013-04-05,0.011
2013-04-12,0.014
2013-04-19,0.019
2013-04-26,-0.002
2013-05-03,-0.002
2013-05-10,0.049
2013-05-17,-0.032
2013-05-24,0.007
2013-05-31,0.067
2013-06-07,0.177
2013-06-14,0.125
2013-06-21,0.262
2013-06-28,0.187
2013-07-05,0.111
2013-07-12,0.101
2013-07-19,0.084
2013-07-26,0.149
2013-08-02,0.151
2013-08-09,0.16
2013-08-16,0.218
2013-08-23,0.281
2013-08-30,0.235
2013-09-06,0.265
2013-09-13,0.22
2013-09-20,0.209
2013-09-27,0.167
2013-10-04,0.173
2013-10-11,0.178
2013-10-18,0.172
2013-10-25,0.183
2013-11-01,0.112
2013-11-08,0.098
2013-11-15,0.107
2013-11-22,0.133
2013-11-29,0.114
2013-12-06,0.213
2013-12-13,0.242
2013-12-20,0.222
2013-12-27,0.239
2014-01-03,0.206
2014-01-10,0.184
2014-01-17,0.17
2014-01-24,0.123
2014-01-31,0.066
2014-02-07,0.09
