date,INTL_EURUSD
2001-01-05,0.957
2001-01-12,0.9513
2001-01-19,0.9342
2001-01-26,0.9244
2001-02-02,0.9364
2001-02-09,0.9242
2001-02-16,0.915
2001-02-23,0.9176
2001-03-02,0.9358
2001-03-09,0.9328
2001-03-16,0.8978
2001-03-23,0.8899
2001-03-30,0.8767
2001-04-06,0.9042
2001-04-13,0.8882
2001-04-20,0.9022
2001-04-27,0.8918
2001-05-04,0.8925
2001-05-11,0.8753
2001-05-18,0.8814
2001-05-25,0.8611
2001-06-01,0.8475
2001-06-08,0.8505
2001-06-15,0.861
2001-06-22,0.8576
2001-06-29,0.849
2001-07-06,0.8476
2001-07-13,0.8547
2001-07-20,0.8711
2001-07-27,0.8774
2001-08-03,0.8844
2001-08-10,0.8934
2001-08-17,0.9182
2001-08-24,0.9142
2001-08-31,0.9123
2001-09-07,0.9075
2001-09-14,0.9207
2001-09-21,0.9149
2001-09-28,0.9114
2001-10-05,0.9183
2001-10-12,0.9115
2001-10-19,0.8992
2001-10-26,0.893
2001-11-02,0.9027
2001-11-09,0.8939
2001-11-16,0.8843
2001-11-23,0.878
2001-11-30,0.8964
2001-12-07,0.8902
2001-12-14,0.9039
2001-12-21,0.8892
2001-12-28,0.8855
2002-01-04,0.8949
2002-01-11,0.8924
2002-01-18,0.8848
2002-01-25,0.865
2002-02-01,0.8618
2002-02-08,0.8722
2002-02-15,0.8734
2002-02-22,0.8755
2002-03-01,0.8655
2002-03-08,0.8749
2002-03-15,0.8828
2002-03-22,0.8779
2002-03-29,0.8717
2002-04-05,0.8783
2002-04-12,0.8794
2002-04-19,0.8926
2002-04-26,0.9019
2002-05-03,0.9173
2002-05-10,0.914
2002-05-17,0.9203
2002-05-24,0.9208
2002-05-31,0.9342
2002-06-07,0.9435
2002-06-14,0.9461
2002-06-21,0.9709
2002-06-28,0.9915
2002-07-05,0.9727
2002-07-12,0.9914
2002-07-19,1.0116
2002-07-26,0.9865
2002-08-02,0.9867
2002-08-09,0.9701
2002-08-16,0.9847
2002-08-23,0.9731
2002-08-30,0.9823
2002-09-06,0.9819
2002-09-13,0.9718
2002-09-20,0.9826
2002-09-27,0.9807
2002-10-04,0.9788
2002-10-11,0.9875
2002-10-18,0.9714
2002-10-25,0.9758
2002-11-01,0.9966
2002-11-08,1.0132
2002-11-15,1.0098
2002-11-22,0.9968
2002-11-29,0.9943
2002-12-06,1.0091
2002-12-13,1.0241
2002-12-20,1.0276
2002-12-27,1.0441
2003-01-03,1.0428
2003-01-10,1.0576
2003-01-17,1.0678
2003-01-24,1.0827
2003-01-31,1.0768
2003-02-07,1.0821
2003-02-14,1.0793
2003-02-21,1.0772
2003-02-28,1.0807
2003-03-07,1.1008
2003-03-14,1.0747
2003-03-21,1.0525
2003-03-28,1.0779
2003-04-04,1.0735
2003-04-11,1.0752
2003-04-18,1.0877
2003-04-25,1.104
2003-05-02,1.1233
2003-05-09,1.1487
2003-05-16,1.1592
2003-05-23,1.1837
2003-05-30,1.1784
2003-06-06,1.1699
2003-06-13,1.187
2003-06-20,1.1608
2003-06-27,1.1434
2003-07-04,1.149
2003-07-11,1.1291
2003-07-18,1.1269
2003-07-25,1.1507
2003-08-01,1.1277
2003-08-08,1.1309
2003-08-15,1.1266
2003-08-22,1.0877
2003-08-29,1.0984
2003-09-05,1.1104
2003-09-12,1.1291
2003-09-19,1.1371
2003-09-26,1.1464
2003-10-03,1.158
2003-10-10,1.1798
2003-10-17,1.168
2003-10-24,1.1781
2003-10-31,1.1593
2003-11-07,1.1525
2003-11-14,1.1779
2003-11-21,1.1914
2003-11-28,1.1996
2003-12-05,1.2171
2003-12-12,1.2277
2003-12-19,1.2374
2003-12-26,1.2429
2004-01-02,1.2585
2004-01-09,1.2818
2004-01-16,1.2394
2004-01-23,1.2582
2004-01-30,1.2478
2004-02-06,1.2706
2004-02-13,1.2735
2004-02-20,1.2537
2004-02-27,1.2493
2004-03-05,1.2366
2004-03-12,1.2215
2004-03-19,1.229
2004-03-26,1.2132
2004-04-02,1.2136
2004-04-09,1.2093
2004-04-16,1.1993
2004-04-23,1.1843
2004-04-30,1.198
2004-05-07,1.1884
2004-05-14,1.1888
2004-05-21,1.198
2004-05-28,1.2223
2004-06-04,1.2283
2004-06-11,1.2006
2004-06-18,1.2137
2004-06-25,1.2178
2004-07-02,1.2316
2004-07-09,1.2415
2004-07-16,1.2452
2004-07-23,1.2093
2004-07-30,1.2019
2004-08-06,1.2279
2004-08-13,1.2374
2004-08-20,1.2321
2004-08-27,1.2011
2004-09-03,1.2058
2004-09-10,1.2262
2004-09-17,1.2187
2004-09-24,1.2276
2004-10-01,1.2417
2004-10-08,1.2409
2004-10-15,1.2469
2004-10-22,1.2683
2004-10-29,1.2798
2004-11-05,1.2964
2004-11-12,1.2974
2004-11-19,1.3023
2004-11-26,1.3297
2004-12-03,1.3454
2004-12-10,1.3226
2004-12-17,1.3307
2004-12-24,1.3531
2004-12-31,1.3554
2005-01-07,1.3054
2005-01-14,1.3112
2005-01-21,1.3039
2005-01-28,1.3038
2005-02-04,1.2869
2005-02-11,1.2866
2005-02-18,1.3072
2005-02-25,1.3245
2005-03-04,1.3237
2005-03-11,1.3458
2005-03-18,1.3326
2005-03-25,1.2959
2005-04-01,1.2914
2005-04-08,1.2932
2005-04-15,1.2924
2005-04-22,1.3065
2005-04-29,1.2873
2005-05-06,1.2819
2005-05-13,1.2633
2005-05-20,1.2559
2005-05-27,1.2586
