date,INTL_GBPUSD
2001-01-05,1.5038
2001-01-12,1.4786
2001-01-19,1.4628
2001-01-26,1.4554
2001-02-02,1.4707
2001-02-09,1.4446
2001-02-16,1.4483
2001-02-23,1.455
2001-03-02,1.4681
2001-03-09,1.4698
2001-03-16,1.4318
2001-03-23,1.425
2001-03-30,1.4161
2001-04-06,1.44
2001-04-13,1.4389
2001-04-20,1.4412
2001-04-27,1.4367
2001-05-04,1.4393
2001-05-11,1.419
2001-05-18,1.4395
2001-05-25,1.4225
2001-06-01,1.4184
2001-06-08,1.3784
2001-06-15,1.4031
2001-06-22,1.4132
2001-06-29,1.4153
2001-07-06,1.4118
2001-07-13,1.4037
2001-07-20,1.4277
2001-07-27,1.4236
2001-08-03,1.4293
2001-08-10,1.4232
2001-08-17,1.4451
2001-08-24,1.443
2001-08-31,1.4539
2001-09-07,1.4616
2001-09-14,1.4682
2001-09-21,1.4567
2001-09-28,1.4744
2001-10-05,1.4842
2001-10-12,1.453
2001-10-19,1.433
2001-10-26,1.4366
2001-11-02,1.4628
2001-11-09,1.4562
2001-11-16,1.4268
2001-11-23,1.4095
2001-11-30,1.4241
2001-12-07,1.4338
2001-12-14,1.4543
2001-12-21,1.4411
2001-12-28,1.4513
2002-01-04,1.4473
2002-01-11,1.4486
2002-01-18,1.4383
2002-01-25,1.4082
2002-02-01,1.4162
2002-02-08,1.415
2002-02-15,1.432
2002-02-22,1.4327
2002-03-01,1.4177
2002-03-08,1.423
2002-03-15,1.4248
2002-03-22,1.4258
2002-03-29,1.4259
2002-04-05,1.4321
2002-04-12,1.4372
2002-04-19,1.4476
2002-04-26,1.4582
2002-05-03,1.469
2002-05-10,1.4641
2002-05-17,1.4579
2002-05-24,1.4581
2002-05-31,1.4553
2002-06-07,1.4596
2002-06-14,1.4774
2002-06-21,1.4976
2002-06-28,1.5335
2002-07-05,1.5222
2002-07-12,1.5543
2002-07-19,1.5771
2002-07-26,1.5657
2002-08-02,1.57
2002-08-09,1.5246
2002-08-16,1.5392
2002-08-23,1.5201
2002-08-30,1.5505
2002-09-06,1.5603
2002-09-13,1.5519
2002-09-20,1.5546
2002-09-27,1.5609
2002-10-04,1.5654
2002-10-11,1.5615
2002-10-18,1.5457
2002-10-25,1.5507
2002-11-01,1.5646
2002-11-08,1.5917
2002-11-15,1.5803
2002-11-22,1.5803
2002-11-29,1.5575
2002-12-06,1.5765
2002-12-13,1.5902
2002-12-20,1.6032
2002-12-27,1.6039
2003-01-03,1.6113
2003-01-10,1.6076
2003-01-17,1.6131
2003-01-24,1.6333
2003-01-31,1.6463
2003-02-07,1.6319
2003-02-14,1.6155
2003-02-21,1.579
2003-02-28,1.5724
2003-03-07,1.6033
2003-03-14,1.5836
2003-03-21,1.5624
2003-03-28,1.574
2003-04-04,1.5611
2003-04-11,1.5705
2003-04-18,1.5711
2003-04-25,1.5915
2003-05-02,1.6038
2003-05-09,1.6053
2003-05-16,1.6215
2003-05-23,1.6354
2003-05-30,1.6364
2003-06-06,1.6623
2003-06-13,1.6724
2003-06-20,1.6642
2003-06-27,1.6495
2003-07-04,1.6663
2003-07-11,1.6307
2003-07-18,1.5906
2003-07-25,1.6215
2003-08-01,1.6114
2003-08-08,1.6031
2003-08-15,1.5962
2003-08-22,1.575
2003-08-29,1.5777
2003-09-05,1.5883
2003-09-12,1.603
2003-09-19,1.6372
2003-09-26,1.6592
2003-10-03,1.6638
2003-10-10,1.6637
2003-10-17,1.6786
2003-10-24,1.6953
2003-10-31,1.6957
2003-11-07,1.6762
2003-11-14,1.688
2003-11-21,1.7045
2003-11-28,1.7222
2003-12-05,1.7296
2003-12-12,1.7459
2003-12-19,1.7652
2003-12-26,1.7711
2004-01-02,1.7935
2004-01-09,1.8477
2004-01-16,1.7986
2004-01-23,1.8261
2004-01-30,1.8238
2004-02-06,1.8477
2004-02-13,1.8853
2004-02-20,1.8615
2004-02-27,1.8685
2004-03-05,1.8461
2004-03-12,1.8036
2004-03-19,1.8335
2004-03-26,1.8158
2004-04-02,1.8295
