date,INTL_JP10Y
2001-01-05,1.626
2001-01-12,1.518
2001-01-19,1.522
2001-01-26,1.427
2001-02-02,1.531
2001-02-09,1.438
2001-02-16,1.404
2001-02-23,1.44
2001-03-02,1.234
2001-03-09,1.224
2001-03-16,1.145
2001-03-23,1.144
2001-03-30,1.278
2001-04-06,1.275
2001-04-13,1.439
2001-04-20,1.459
2001-04-27,1.339
2001-05-04,1.388
2001-05-11,1.289
2001-05-18,1.254
2001-05-25,1.28
2001-06-01,1.249
2001-06-08,1.249
2001-06-15,1.195
2001-06-22,1.184
2001-06-29,1.194
2001-07-06,1.249
2001-07-13,1.31
2001-07-20,1.385
2001-07-27,1.322
2001-08-03,1.375
2001-08-10,1.319
2001-08-17,1.334
2001-08-24,1.395
2001-08-31,1.379
2001-09-07,1.414
2001-09-14,1.419
2001-09-21,1.394
2001-09-28,1.415
2001-10-05,1.388
2001-10-12,1.384
2001-10-19,1.364
2001-10-26,1.33
2001-11-02,1.31
2001-11-09,1.324
2001-11-16,1.364
2001-11-23,1.36
2001-11-30,1.364
2001-12-07,1.368
2001-12-14,1.34
2001-12-21,1.32
2001-12-28,1.368
2002-01-04,1.403
2002-01-11,1.401
2002-01-18,1.43
2002-01-25,1.473
2002-02-01,1.5
2002-02-08,1.509
2002-02-15,1.505
2002-02-22,1.531
2002-03-01,1.52
2002-03-08,1.47
2002-03-15,1.46
2002-03-22,1.436
2002-03-29,1.395
2002-04-05,1.381
2002-04-12,1.385
2002-04-19,1.394
2002-04-26,1.419
2002-05-03,1.38
2002-05-10,1.365
2002-05-17,1.365
2002-05-24,1.423
2002-05-31,1.394
2002-06-07,1.37
2002-06-14,1.374
2002-06-21,1.328
2002-06-28,1.32
2002-07-05,1.325
2002-07-12,1.295
2002-07-19,1.269
2002-07-26,1.339
2002-08-02,1.305
2002-08-09,1.265
2002-08-16,1.291
2002-08-23,1.271
2002-08-30,1.185
2002-09-06,1.135
2002-09-13,1.038
2002-09-20,1.3
2002-09-27,1.224
2002-10-04,1.156
2002-10-11,1.104
2002-10-18,1.094
2002-10-25,1.078
2002-11-01,0.984
2002-11-08,1.0
2002-11-15,1.016
2002-11-22,1.034
2002-11-29,1.002
2002-12-06,1.03
2002-12-13,1.009
2002-12-20,0.95
2002-12-27,0.92
2003-01-03,0.909
2003-01-10,0.876
2003-01-17,0.838
2003-01-24,0.816
2003-01-31,0.812
2003-02-07,0.849
2003-02-14,0.845
2003-02-21,0.842
2003-02-28,0.79
2003-03-07,0.76
2003-03-14,0.756
2003-03-21,0.755
2003-03-28,0.755
2003-04-04,0.708
2003-04-11,0.689
2003-04-18,0.641
2003-04-25,0.629
2003-05-02,0.614
2003-05-09,0.589
2003-05-16,0.585
2003-05-23,0.578
2003-05-30,0.54
2003-06-06,0.514
2003-06-13,0.455
2003-06-20,0.599
2003-06-27,0.735
2003-07-04,1.059
2003-07-11,0.99
2003-07-18,0.965
2003-07-25,0.97
2003-08-01,0.97
2003-08-08,0.878
2003-08-15,1.105
2003-08-22,1.359
2003-08-29,1.464
2003-09-05,1.445
2003-09-12,1.54
2003-09-19,1.401
2003-09-26,1.406
2003-10-03,1.404
2003-10-10,1.36
2003-10-17,1.436
2003-10-24,1.371
2003-10-31,1.469
2003-11-07,1.541
2003-11-14,1.359
2003-11-21,1.311
2003-11-28,1.304
2003-12-05,1.417
2003-12-12,1.306
2003-12-19,1.324
2003-12-26,1.319
2004-01-02,1.37
2004-01-09,1.361
