date,INTL_JPYUSD
2001-01-05,0.008582
2001-01-12,0.008438
2001-01-19,0.008534
2001-01-26,0.008534
2001-02-02,0.008642
2001-02-09,0.008511
2001-02-16,0.008639
2001-02-23,0.008636
2001-03-02,0.008402
2001-03-09,0.00837
2001-03-16,0.008128
2001-03-23,0.008146
2001-03-30,0.007916
2001-04-06,0.008081
2001-04-13,0.008052
2001-04-20,0.008161
2001-04-27,0.008069
2001-05-04,0.00824
2001-05-11,0.008163
2001-05-18,0.008098
2001-05-25,0.008288
2001-06-01,0.008383
2001-06-08,0.008267
2001-06-15,0.008135
2001-06-22,0.008032
2001-06-29,0.008021
2001-07-06,0.007938
2001-07-13,0.008003
2001-07-20,0.008132
2001-07-27,0.008097
2001-08-03,0.008087
2001-08-10,0.008191
2001-08-17,0.008307
2001-08-24,0.008325
2001-08-31,0.008418
2001-09-07,0.008333
2001-09-14,0.008522
2001-09-21,0.008578
2001-09-28,0.008364
2001-10-05,0.008297
2001-10-12,0.008256
2001-10-19,0.00825
2001-10-26,0.00815
2001-11-02,0.008215
2001-11-09,0.008312
2001-11-16,0.008146
2001-11-23,0.00805
2001-11-30,0.008098
2001-12-07,0.007967
2001-12-14,0.007858
2001-12-21,0.007717
2001-12-28,0.007627
2002-01-04,0.007632
2002-01-11,0.007566
2002-01-18,0.007543
2002-01-25,0.007437
2002-02-01,0.007517
2002-02-08,0.007424
2002-02-15,0.007541
2002-02-22,0.007454
2002-03-01,0.007494
2002-03-08,0.007773
2002-03-15,0.007752
2002-03-22,0.007526
2002-03-29,0.007534
2002-04-05,0.007598
2002-04-12,0.007578
2002-04-19,0.00767
2002-04-26,0.007822
2002-05-03,0.007877
2002-05-10,0.007838
2002-05-17,0.007938
2002-05-24,0.008016
2002-05-31,0.00805
2002-06-07,0.008043
2002-06-14,0.008056
2002-06-21,0.008245
2002-06-28,0.008363
2002-07-05,0.008304
2002-07-12,0.008554
2002-07-19,0.008633
2002-07-26,0.008417
2002-08-02,0.008413
2002-08-09,0.008322
2002-08-16,0.0085
2002-08-23,0.008361
2002-08-30,0.008442
2002-09-06,0.008436
2002-09-13,0.008199
2002-09-20,0.008106
2002-09-27,0.008162
2002-10-04,0.008111
2002-10-11,0.008057
2002-10-18,0.007969
2002-10-25,0.008046
2002-11-01,0.008183
2002-11-08,0.008346
2002-11-15,0.008298
2002-11-22,0.008142
2002-11-29,0.00816
2002-12-06,0.008099
2002-12-13,0.008299
2002-12-20,0.008306
2002-12-27,0.008343
2003-01-03,0.008358
2003-01-10,0.008379
2003-01-17,0.008485
2003-01-24,0.008488
2003-01-31,0.008341
2003-02-07,0.008314
2003-02-14,0.008299
2003-02-21,0.008422
2003-02-28,0.008466
