date,INTL_MSCIJP
2001-01-05,4108.286
2001-01-12,3879.953
2001-01-19,4091.794
2001-01-26,4042.109
2001-02-02,4065.352
2001-02-09,3945.54
2001-02-16,3963.704
2001-02-23,3971.433
2001-03-02,3717.591
2001-03-09,3826.141
2001-03-16,3618.539
2001-03-23,3870.738
2001-03-30,3792.919
2001-04-06,3936.359
2001-04-13,3869.617
2001-04-20,3987.868
2001-04-27,4042.528
2001-05-04,4303.057
2001-05-11,4119.559
2001-05-18,4042.215
2001-05-25,4116.223
2001-06-01,4031.326
2001-06-08,3983.894
2001-06-15,3793.699
2001-06-22,3832.6
2001-06-29,3800.541
2001-07-06,3632.541
2001-07-13,3655.49
2001-07-20,3570.061
2001-07-27,3519.067
2001-08-03,3622.703
2001-08-10,3558.52
2001-08-17,3571.41
2001-08-24,3531.634
2001-08-31,3429.435
2001-09-07,3349.927
2001-09-14,3260.896
2001-09-21,3116.309
2001-09-28,3111.391
2001-10-05,3209.79
2001-10-12,3238.549
2001-10-19,3194.047
2001-10-26,3223.397
2001-11-02,3128.531
2001-11-09,3114.898
2001-11-16,3089.768
2001-11-23,3109.486
2001-11-30,3138.577
2001-12-07,3059.992
2001-12-14,2931.747
2001-12-21,2875.603
2001-12-28,2923.757
2002-01-04,2995.966
2002-01-11,2835.037
2002-01-18,2824.844
2002-01-25,2733.113
2002-02-01,2643.62
2002-02-08,2620.126
2002-02-15,2746.537
2002-02-22,2747.13
2002-03-01,2876.251
2002-03-08,3211.203
2002-03-15,3159.221
2002-03-22,3005.561
2002-03-29,2973.761
2002-04-05,3073.403
2002-04-12,2976.667
2002-04-19,3114.544
2002-04-26,3171.169
2002-05-03,3194.303
2002-05-10,3180.429
2002-05-17,3301.811
2002-05-24,3402.807
2002-05-31,3343.084
2002-06-07,3271.133
2002-06-14,3134.996
2002-06-21,3046.673
2002-06-28,3168.994
2002-07-05,3204.87
2002-07-12,3225.695
2002-07-19,3144.795
2002-07-26,2903.996
2002-08-02,2930.373
2002-08-09,2994.918
2002-08-16,3003.33
2002-08-23,2967.778
2002-08-30,2917.643
2002-09-06,2771.686
2002-09-13,2762.348
2002-09-20,2765.713
2002-09-27,2806.001
2002-10-04,2667.514
2002-10-11,2522.598
2002-10-18,2636.888
2002-10-25,2588.723
2002-11-01,2613.639
2002-11-08,2652.332
2002-11-15,2576.279
2002-11-22,2595.85
2002-11-29,2700.473
2002-12-06,2578.82
2002-12-13,2565.976
2002-12-20,2528.748
2002-12-27,2619.855
2003-01-03,2606.554
2003-01-10,2586.002
2003-01-17,2688.317
2003-01-24,2690.756
2003-01-31,2524.337
2003-02-07,2564.023
2003-02-14,2610.1
2003-02-21,2591.459
2003-02-28,2539.222
2003-03-07,2498.365
2003-03-14,2425.149
2003-03-21,2435.755
2003-03-28,2491.211
2003-04-04,2415.732
2003-04-11,2347.805
2003-04-18,2380.464
2003-04-25,2329.493
2003-05-02,2430.646
2003-05-09,2524.229
2003-05-16,2526.874
2003-05-23,2535.537
2003-05-30,2525.231
2003-06-06,2642.962
2003-06-13,2708.269
2003-06-20,2742.897
2003-06-27,2723.806
2003-07-04,2911.421
2003-07-11,2910.162
2003-07-18,2842.251
2003-07-25,2890.171
2003-08-01,2841.38
2003-08-08,2782.119
2003-08-15,2934.409
2003-08-22,3104.81
2003-08-29,3118.913
2003-09-05,3211.016
2003-09-12,3239.882
2003-09-19,3420.383
2003-09-26,3314.076
2003-10-03,3501.709
2003-10-10,3586.814
2003-10-17,3624.352
2003-10-24,3413.507
2003-10-31,3456.341
2003-11-07,3487.356
2003-11-14,3397.75
2003-11-21,3280.205
2003-11-28,3349.682
2003-12-05,3470.889
2003-12-12,3407.531
2003-12-19,3440.62
2003-12-26,3500.9
2004-01-02,3587.104
2004-01-09,3681.829
