date,INTL_UK10Y
2001-01-05,4.796
2001-01-12,4.925
2001-01-19,4.932
2001-01-26,4.898
2001-02-02,4.854
2001-02-09,4.839
2001-02-16,4.947
2001-02-23,4.978
2001-03-02,4.739
2001-03-09,4.765
2001-03-16,4.562
2001-03-23,4.59
2001-03-30,4.784
2001-04-06,4.75
2001-04-13,4.947
2001-04-20,5.066
2001-04-27,5.058
2001-05-04,4.995
2001-05-11,5.037
2001-05-18,5.116
2001-05-25,5.242
2001-06-01,5.138
2001-06-08,5.161
2001-06-15,5.165
2001-06-22,5.148
2001-06-29,5.289
2001-07-06,5.162
2001-07-13,5.154
2001-07-20,5.071
2001-07-27,5.046
2001-08-03,5.053
2001-08-10,4.843
2001-08-17,4.829
2001-08-24,4.919
2001-08-31,4.866
2001-09-07,4.921
2001-09-14,4.825
2001-09-21,4.925
2001-09-28,4.907
2001-10-05,4.792
2001-10-12,4.859
2001-10-19,4.794
2001-10-26,4.693
2001-11-02,4.502
2001-11-09,4.394
2001-11-16,4.679
2001-11-23,4.704
2001-11-30,4.655
2001-12-07,4.974
2001-12-14,4.813
2001-12-21,4.891
2001-12-28,5.031
2002-01-04,4.993
2002-01-11,4.903
2002-01-18,4.858
2002-01-25,5.013
2002-02-01,4.869
2002-02-08,4.945
2002-02-15,4.924
2002-02-22,4.936
2002-03-01,5.046
2002-03-08,5.215
2002-03-15,5.251
2002-03-22,5.309
2002-03-29,5.293
2002-04-05,5.193
2002-04-12,5.181
2002-04-19,5.269
2002-04-26,5.139
2002-05-03,5.169
2002-05-10,5.26
2002-05-17,5.338
2002-05-24,5.238
2002-05-31,5.253
2002-06-07,5.218
2002-06-14,5.015
2002-06-21,5.027
2002-06-28,5.006
2002-07-05,5.093
2002-07-12,4.934
2002-07-19,4.904
2002-07-26,4.845
2002-08-02,4.762
2002-08-09,4.642
2002-08-16,4.671
2002-08-23,4.707
2002-08-30,4.617
2002-09-06,4.445
2002-09-13,4.492
2002-09-20,4.416
2002-09-27,4.443
2002-10-04,4.499
2002-10-11,4.53
2002-10-18,4.673
2002-10-25,4.662
2002-11-01,4.599
2002-11-08,4.55
2002-11-15,4.55
2002-11-22,4.63
2002-11-29,4.68
2002-12-06,4.578
2002-12-13,4.519
2002-12-20,4.486
2002-12-27,4.401
2003-01-03,4.485
2003-01-10,4.43
2003-01-17,4.354
2003-01-24,4.233
2003-01-31,4.278
2003-02-07,4.205
2003-02-14,4.196
2003-02-21,4.184
2003-02-28,4.173
2003-03-07,4.058
2003-03-14,4.257
2003-03-21,4.555
2003-03-28,4.375
2003-04-04,4.437
2003-04-11,4.464
2003-04-18,4.416
2003-04-25,4.354
2003-05-02,4.351
2003-05-09,4.235
2003-05-16,4.133
2003-05-23,3.982
2003-05-30,4.066
2003-06-06,4.062
2003-06-13,3.858
2003-06-20,4.062
2003-06-27,4.211
2003-07-04,4.276
2003-07-11,4.218
2003-07-18,4.367
2003-07-25,4.358
2003-08-01,4.546
2003-08-08,4.354
2003-08-15,4.561
2003-08-22,4.593
2003-08-29,4.605
2003-09-05,4.693
2003-09-12,4.553
2003-09-19,4.615
2003-09-26,4.529
2003-10-03,4.736
2003-10-10,4.734
2003-10-17,4.905
2003-10-24,4.971
2003-10-31,5.005
2003-11-07,5.079
2003-11-14,4.965
2003-11-21,5.02
2003-11-28,5.076
2003-12-05,4.929
2003-12-12,4.859
2003-12-19,4.807
2003-12-26,4.781
2004-01-02,4.861
2004-01-09,4.703
2004-01-16,4.743
2004-01-23,4.764
2004-01-30,4.9
2004-02-06,4.831
2004-02-13,4.76
2004-02-20,4.844
2004-02-27,4.764
2004-03-05,4.735
2004-03-12,4.64
2004-03-19,4.686
2004-03-26,4.675
2004-04-02,4.887
2004-04-09,4.882
2004-04-16,4.924
2004-04-23,4.966
2004-04-30,4.989
2004-05-07,5.113
2004-05-14,5.092
2004-05-21,5.153
2004-05-28,5.157
2004-06-04,5.222
2004-06-11,5.233
2004-06-18,5.177
2004-06-25,5.129
2004-07-02,5.044
2004-07-09,5.053
2004-07-16,5.028
2004-07-23,5.124
2004-07-30,5.096
2004-08-06,4.926
2004-08-13,4.934
2004-08-20,4.935
2004-08-27,4.959
2004-09-03,5.027
2004-09-10,4.908
2004-09-17,4.915
2004-09-24,4.831
2004-10-01,4.863
2004-10-08,4.79
2004-10-15,4.737
2004-10-22,4.7
2004-10-29,4.738
2004-11-05,4.797
2004-11-12,4.654
2004-11-19,4.682
2004-11-26,4.576
2004-12-03,4.645
2004-12-10,4.524
2004-12-17,4.492
2004-12-24,4.458
2004-12-31,4.537
2005-01-07,4.515
2005-01-14,4.496
2005-01-21,4.602
2005-01-28,4.606
2005-02-04,4.524
2005-02-11,4.534
2005-02-18,4.691
2005-02-25,4.762
2005-03-04,4.788
2005-03-11,4.857
2005-03-18,4.827
2005-03-25,4.815
2005-04-01,4.739
2005-04-08,4.694
2005-04-15,4.613
2005-04-22,4.597
2005-04-29,4.531
2005-05-06,4.597
2005-05-13,4.371
2005-05-20,4.396
2005-05-27,4.39
2005-06-03,4.265
2005-06-10,4.256
2005-06-17,4.399
2005-06-24,4.226
2005-07-01,4.21
2005-07-08,4.219
2005-07-15,4.338
2005-07-22,4.297
2005-07-29,4.315
2005-08-05,4.418
2005-08-12,4.339
2005-08-19,4.273
2005-08-26,4.218
2005-09-02,4.143
2005-09-09,4.16
2005-09-16,4.252
2005-09-23,4.218
2005-09-30,4.287
2005-10-07,4.269
2005-10-14,4.416
2005-10-21,4.366
2005-10-28,4.36
2005-11-04,4.437
2005-11-11,4.44
2005-11-18,4.268
2005-11-25,4.201
2005-12-02,4.226
2005-12-09,4.331
2005-12-16,4.239
2005-12-23,4.181
2005-12-30,4.1
2006-01-06,4.076
2006-01-13,4.058
2006-01-20,4.042
2006-01-27,4.198
2006-02-03,4.184
2006-02-10,4.182
2006-02-17,4.13
2006-02-24,4.168
2006-03-03,4.26
2006-03-10,4.344
2006-03-17,4.366
2006-03-24,4.329
2006-03-31,4.398
2006-04-07,4.414
2006-04-14,4.538
2006-04-21,4.552
2006-04-28,4.635
2006-05-05,4.684
2006-05-12,4.744
2006-05-19,4.606
2006-05-26,4.548
2006-06-02,4.585
2006-06-09,4.57
2006-06-16,4.611
2006-06-23,4.748
2006-06-30,4.71
2006-07-07,4.648
2006-07-14,4.582
2006-07-21,4.612
2006-07-28,4.593
2006-08-04,4.706
2006-08-11,4.75
2006-08-18,4.611
2006-08-25,4.551
2006-09-01,4.502
2006-09-08,4.537
2006-09-15,4.577
2006-09-22,4.498
2006-09-29,4.523
2006-10-06,4.563
2006-10-13,4.648
2006-10-20,4.69
2006-10-27,4.594
2006-11-03,4.585
2006-11-10,4.52
2006-11-17,4.559
2006-11-24,4.53
2006-12-01,4.469
2006-12-08,4.559
2006-12-15,4.682
2006-12-22,4.732
2006-12-29,4.741
2007-01-05,4.802
2007-01-12,4.904
2007-01-19,4.906
2007-01-26,4.986
2007-02-02,5.002
2007-02-09,4.969
2007-02-16,4.876
2007-02-23,4.891
2007-03-02,4.777
2007-03-09,4.819
2007-03-16,4.783
2007-03-23,4.904
2007-03-30,4.969
2007-04-06,4.997
2007-04-13,5.103
2007-04-20,5.067
2007-04-27,5.115
2007-05-04,5.111
2007-05-11,5.087
2007-05-18,5.167
2007-05-25,5.234
2007-06-01,5.291
2007-06-08,5.391
2007-06-15,5.483
2007-06-22,5.524
2007-06-29,5.463
2007-07-06,5.547
2007-07-13,5.488
2007-07-20,5.307
2007-07-27,5.198
2007-08-03,5.184
2007-08-10,5.223
2007-08-17,5.076
2007-08-24,5.08
2007-08-31,5.036
2007-09-07,4.95
2007-09-14,4.867
2007-09-21,5.09
2007-09-28,5.011
2007-10-05,4.954
2007-10-12,5.077
2007-10-19,4.889
2007-10-26,4.846
2007-11-02,4.865
2007-11-09,4.737
2007-11-16,4.635
2007-11-23,4.564
2007-11-30,4.637
2007-12-07,4.641
2007-12-14,4.791
2007-12-21,4.64
2007-12-28,4.557
2008-01-04,4.406
2008-01-11,4.424
2008-01-18,4.439
2008-01-25,4.529
2008-02-01,4.473
2008-02-08,4.43
2008-02-15,4.603
2008-02-22,4.687
2008-02-29,4.469
2008-03-07,4.327
2008-03-14,4.328
2008-03-21,4.291
2008-03-28,4.411
2008-04-04,4.45
2008-04-11,4.41
2008-04-18,4.729
2008-04-25,4.782
2008-05-02,4.742
2008-05-09,4.58
2008-05-16,4.773
2008-05-23,4.924
2008-05-30,4.986
2008-06-06,4.992
2008-06-13,5.248
2008-06-20,5.148
2008-06-27,5.035
2008-07-04,4.963
2008-07-11,4.894
2008-07-18,5.04
2008-07-25,4.994
2008-08-01,4.838
2008-08-08,4.683
2008-08-15,4.575
2008-08-22,4.602
2008-08-29,4.48
2008-09-05,4.381
2008-09-12,4.6
2008-09-19,4.605
2008-09-26,4.546
2008-10-03,4.405
2008-10-10,4.466
2008-10-17,4.67
2008-10-24,4.358
2008-10-31,4.524
2008-11-07,4.19
2008-11-14,4.071
2008-11-21,3.858
2008-11-28,3.768
2008-12-05,3.419
2008-12-12,3.598
2008-12-19,3.178
2008-12-26,3.052
2009-01-02,3.035
2009-01-09,3.135
2009-01-16,3.297
2009-01-23,3.686
2009-01-30,3.704
2009-02-06,3.735
2009-02-13,3.558
2009-02-20,3.415
2009-02-27,3.623
2009-03-06,3.064
2009-03-13,2.949
2009-03-20,3.028
2009-03-27,3.286
2009-04-03,3.424
2009-04-10,3.288
2009-04-17,3.357
2009-04-24,3.487
2009-05-01,3.553
2009-05-08,3.729
2009-05-15,3.537
2009-05-22,3.727
2009-05-29,3.747
2009-06-05,3.922
2009-06-12,3.974
2009-06-19,3.81
2009-06-26,3.687
2009-07-03,3.729
2009-07-10,3.741
2009-07-17,3.813
2009-07-24,3.963
2009-07-31,3.801
2009-08-07,3.797
2009-08-14,3.679
2009-08-21,3.642
2009-08-28,3.555
2009-09-04,3.624
2009-09-11,3.61
2009-09-18,3.741
2009-09-25,3.61
2009-10-02,3.439
2009-10-09,3.453
2009-10-16,3.599
2009-10-23,3.675
2009-10-30,3.619
2009-11-06,3.885
2009-11-13,3.795
2009-11-20,3.638
2009-11-27,3.545
2009-12-04,3.709
2009-12-11,3.859
2009-12-18,3.776
2009-12-25,3.995
2010-01-01,4.015
2010-01-08,4.063
2010-01-15,3.938
2010-01-22,3.921
2010-01-29,3.911
2010-02-05,3.883
2010-02-12,4.042
2010-02-19,4.172
2010-02-26,4.031
2010-03-05,4.063
2010-03-12,4.098
2010-03-19,3.955
2010-03-26,4.037
2010-04-02,3.92
2010-04-09,4.045
2010-04-16,3.984
2010-04-23,4.044
2010-04-30,3.852
2010-05-07,3.831
2010-05-14,3.751
2010-05-21,3.55
2010-05-28,3.581
2010-06-04,3.513
2010-06-11,3.463
2010-06-18,3.544
2010-06-25,3.383
2010-07-02,3.354
2010-07-09,3.332
2010-07-16,3.332
2010-07-23,3.437
2010-07-30,3.325
2010-08-06,3.224
2010-08-13,3.122
2010-08-20,2.975
2010-08-27,2.901
2010-09-03,3.008
2010-09-10,3.125
2010-09-17,3.127
2010-09-24,3.042
2010-10-01,2.971
2010-10-08,2.866
2010-10-15,2.945
2010-10-22,2.951
2010-10-29,3.076
2010-11-05,2.977
2010-11-12,3.204
2010-11-19,3.386
2010-11-26,3.347
2010-12-03,3.413
2010-12-10,3.518
2010-12-17,3.557
2010-12-24,3.509
2010-12-31,3.396
2011-01-07,3.512
2011-01-14,3.609
2011-01-21,3.695
2011-01-28,3.65
2011-02-04,3.819
2011-02-11,3.868
2011-02-18,3.805
2011-02-25,3.616
2011-03-04,3.629
2011-03-11,3.547
2011-03-18,3.509
2011-03-25,3.611
2011-04-01,3.719
2011-04-08,3.808
2011-04-15,3.6
2011-04-22,3.527
2011-04-29,3.43
2011-05-06,3.383
2011-05-13,3.365
2011-05-20,3.345
2011-05-27,3.294
2011-06-03,3.286
2011-06-10,3.224
2011-06-17,3.198
2011-06-24,3.132
2011-07-01,3.386
2011-07-08,3.193
2011-07-15,3.077
2011-07-22,3.107
2011-07-29,2.859
2011-08-05,2.687
2011-08-12,2.533
2011-08-19,2.387
2011-08-26,2.499
2011-09-02,2.441
2011-09-09,2.26
2011-09-16,2.484
2011-09-23,2.365
2011-09-30,2.43
2011-10-07,2.47
2011-10-14,2.607
2011-10-21,2.531
2011-10-28,2.607
2011-11-04,2.308
2011-11-11,2.289
2011-11-18,2.253
2011-11-25,2.29
2011-12-02,2.29
2011-12-09,2.16
2011-12-16,2.043
2011-12-23,2.038
2011-12-30,1.977
2012-01-06,2.017
2012-01-13,1.969
2012-01-20,2.114
2012-01-27,2.068
2012-02-03,2.178
2012-02-10,2.112
2012-02-17,2.185
2012-02-24,2.069
2012-03-02,2.138
2012-03-09,2.154
2012-03-16,2.445
2012-03-23,2.274
2012-03-30,2.204
2012-04-06,2.157
2012-04-13,2.041
2012-04-20,2.176
2012-04-27,2.125
2012-05-04,1.996
2012-05-11,1.963
2012-05-18,1.825
2012-05-25,1.754
2012-06-01,1.534
2012-06-08,1.627
2012-06-15,1.666
2012-06-22,1.724
2012-06-29,1.734
2012-07-06,1.593
2012-07-13,1.549
2012-07-20,1.485
2012-07-27,1.537
2012-08-03,1.56
2012-08-10,1.542
2012-08-17,1.672
2012-08-24,1.528
2012-08-31,1.464
2012-09-07,1.684
2012-09-14,1.965
2012-09-21,1.834
2012-09-28,1.727
2012-10-05,1.77
2012-10-12,1.721
2012-10-19,1.88
2012-10-26,1.868
2012-11-02,1.855
2012-11-09,1.735
2012-11-16,1.732
2012-11-23,1.843
2012-11-30,1.775
2012-12-07,1.743
2012-12-14,1.862
2012-12-21,1.885
2012-12-28,1.822
2013-01-04,2.119
2013-01-11,2.082
2013-01-18,2.011
2013-01-25,2.056
2013-02-01,2.097
2013-02-08,2.095
2013-02-15,2.193
2013-02-22,2.109
2013-03-01,1.871
2013-03-08,2.061
2013-03-15,1.936
2013-03-22,1.852
2013-03-29,1.768
2013-04-05,1.631
2013-04-12,1.727
2013-04-19,1.662
2013-04-26,1.679
2013-05-03,1.725
2013-05-10,1.89
2013-05-17,1.884
2013-05-24,1.897
2013-05-31,2.002
2013-06-07,2.069
2013-06-14,2.061
2013-06-21,2.404
2013-06-28,2.443
2013-07-05,2.485
2013-07-12,2.328
2013-07-19,2.284
2013-07-26,2.333
2013-08-02,2.425
2013-08-09,2.46
2013-08-16,2.704
2013-08-23,2.707
2013-08-30,2.772
2013-09-06,2.937
2013-09-13,2.913
2013-09-20,2.921
2013-09-27,2.709
2013-10-04,2.74
2013-10-11,2.737
2013-10-18,2.715
2013-10-25,2.614
2013-11-01,2.647
2013-11-08,2.767
2013-11-15,2.745
2013-11-22,2.791
2013-11-29,2.769
2013-12-06,2.902
2013-12-13,2.897
2013-12-20,2.944
2013-12-27,3.074
2014-01-03,3.024
2014-01-10,2.873
2014-01-17,2.831
2014-01-24,2.772
2014-01-31,2.707
2014-02-07,2.712
2014-02-14,2.794
2014-02-21,2.781
2014-02-28,2.719
2014-03-07,2.794
2014-03-14,2.664
2014-03-21,2.747
2014-03-28,2.724
2014-04-04,2.686
2014-04-11,2.611
2014-04-18,2.668
2014-04-25,2.639
2014-05-02,2.642
2014-05-09,2.685
2014-05-16,2.564
2014-05-23,2.635
2014-05-30,2.57
2014-06-06,2.655
2014-06-13,2.745
2014-06-20,2.76
2014-06-27,2.64
2014-07-04,2.757
2014-07-11,2.601
2014-07-18,2.571
2014-07-25,2.57
2014-08-01,2.548
2014-08-08,2.46
2014-08-15,2.326
2014-08-22,2.405
2014-08-29,2.368
2014-09-05,2.463
2014-09-12,2.529
2014-09-19,2.544
2014-09-26,2.468
2014-10-03,2.389
2014-10-10,2.217
2014-10-17,2.189
2014-10-24,2.23
2014-10-31,2.247
2014-11-07,2.202
2014-11-14,2.116
2014-11-21,2.048
2014-11-28,1.926
2014-12-05,2.019
2014-12-12,1.8
2014-12-19,1.85
2014-12-26,1.881
2015-01-02,1.718
2015-01-09,1.6
2015-01-16,1.534
2015-01-23,1.478
2015-01-30,1.33
2015-02-06,1.646
2015-02-13,1.676
2015-02-20,1.765
2015-02-27,1.796
2015-03-06,1.948
2015-03-13,1.709
2015-03-20,1.516
2015-03-27,1.542
2015-04-03,1.592
2015-04-10,1.58
2015-04-17,1.584
2015-04-24,1.648
2015-05-01,1.842
2015-05-08,1.876
2015-05-15,1.88
2015-05-22,1.928
2015-05-29,1.813
2015-06-05,2.079
2015-06-12,1.988
2015-06-19,2.005
2015-06-26,2.187
2015-07-03,1.997
2015-07-10,2.08
2015-07-17,2.078
2015-07-24,1.934
2015-07-31,1.882
2015-08-07,1.848
2015-08-14,1.877
2015-08-21,1.691
2015-08-28,1.962
2015-09-04,1.826
2015-09-11,1.829
2015-09-18,1.83
2015-09-25,1.84
2015-10-02,1.701
2015-10-09,1.862
2015-10-16,1.801
2015-10-23,1.861
2015-10-30,1.922
2015-11-06,2.038
2015-11-13,1.98
2015-11-20,1.874
2015-11-27,1.816
2015-12-04,1.921
2015-12-11,1.813
2015-12-18,1.831
2015-12-25,1.92
2016-01-01,1.96
2016-01-08,1.77
2016-01-15,1.662
2016-01-22,1.711
2016-01-29,1.56
2016-02-05,1.559
2016-02-12,1.414
2016-02-19,1.414
2016-02-26,1.399
2016-03-04,1.484
2016-03-11,1.575
2016-03-18,1.448
2016-03-25,1.453
2016-04-01,1.409
2016-04-08,1.363
2016-04-15,1.414
2016-04-22,1.6
2016-04-29,1.596
2016-05-06,1.418
2016-05-13,1.376
2016-05-20,1.452
2016-05-27,1.436
2016-06-03,1.276
2016-06-10,1.232
2016-06-17,1.144
2016-06-24,1.086
2016-07-01,0.863
2016-07-08,0.735
2016-07-15,0.834
2016-07-22,0.798
2016-07-29,0.685
2016-08-05,0.672
2016-08-12,0.518
2016-08-19,0.619
2016-08-26,0.564
2016-09-02,0.727
2016-09-09,0.859
2016-09-16,0.873
2016-09-23,0.73
2016-09-30,0.746
2016-10-07,0.969
2016-10-14,1.097
2016-10-21,1.087
2016-10-28,1.26
2016-11-04,1.13
2016-11-11,1.364
2016-11-18,1.455
2016-11-25,1.417
2016-12-02,1.38
2016-12-09,1.453
2016-12-16,1.438
2016-12-23,1.345
2016-12-30,1.239
2017-01-06,1.383
2017-01-13,1.364
2017-01-20,1.431
2017-01-27,1.471
2017-02-03,1.352
2017-02-10,1.256
2017-02-17,1.211
2017-02-24,1.078
2017-03-03,1.185
2017-03-10,1.231
2017-03-17,1.244
2017-03-24,1.196
2017-03-31,1.139
2017-04-07,1.075
2017-04-14,1.043
2017-04-21,1.034
2017-04-28,1.085
2017-05-05,1.117
2017-05-12,1.086
2017-05-19,1.093
2017-05-26,1.012
2017-06-02,1.038
2017-06-09,1.005
2017-06-16,1.018
2017-06-23,1.031
