date,INTL_UKX
2001-01-05,6198.1
2001-01-12,6165.5
2001-01-19,6209.3
2001-01-26,6294.3
2001-02-02,6256.4
2001-02-09,6164.3
2001-02-16,6088.3
2001-02-23,5943.7
2001-03-02,5858.6
2001-03-09,5917.3
2001-03-16,5562.8
2001-03-23,5402.3
2001-03-30,5633.7
2001-04-06,5601.5
2001-04-13,5766.6
2001-04-20,5879.8
2001-04-27,5951.4
2001-05-04,5870.3
2001-05-11,5896.8
2001-05-18,5915.0
2001-05-25,5889.8
2001-06-01,5809.6
2001-06-08,5950.6
2001-06-15,5723.0
2001-06-22,5665.7
2001-06-29,5642.5
2001-07-06,5479.2
2001-07-13,5537.0
2001-07-20,5387.1
2001-07-27,5403.1
2001-08-03,5547.6
2001-08-10,5427.2
2001-08-17,5342.1
2001-08-24,5471.9
2001-08-31,5345.0
2001-09-07,5070.3
2001-09-14,4755.7
2001-09-21,4433.7
2001-09-28,4903.4
2001-10-05,5036.0
2001-10-12,5145.5
2001-10-19,5017.7
2001-10-26,5188.6
2001-11-02,5129.5
2001-11-09,5244.2
2001-11-16,5291.0
2001-11-23,5293.2
2001-11-30,5203.6
2001-12-07,5264.7
2001-12-14,5061.0
2001-12-21,5159.2
2001-12-28,5242.4
2002-01-04,5323.8
2002-01-11,5198.6
2002-01-18,5126.8
2002-01-25,5193.0
2002-02-01,5189.7
2002-02-08,5128.1
2002-02-15,5182.5
2002-02-22,5050.8
2002-03-01,5169.0
2002-03-08,5285.7
2002-03-15,5292.7
2002-03-22,5250.5
2002-03-29,5271.8
2002-04-05,5233.6
2002-04-12,5161.0
2002-04-19,5243.6
2002-04-26,5159.0
2002-05-03,5203.1
2002-05-10,5171.2
2002-05-17,5218.0
2002-05-24,5169.1
2002-05-31,5085.1
2002-06-07,4920.4
2002-06-14,4630.8
2002-06-21,4605.3
2002-06-28,4656.4
2002-07-05,4615.6
2002-07-12,4224.1
2002-07-19,4098.3
2002-07-26,4016.6
2002-08-02,4075.5
2002-08-09,4322.4
2002-08-16,4330.0
2002-08-23,4389.8
2002-08-30,4227.3
2002-09-06,4107.2
2002-09-13,4008.0
2002-09-20,3860.1
2002-09-27,3907.2
2002-10-04,3813.8
2002-10-11,3953.4
2002-10-18,4130.5
2002-10-25,4051.1
2002-11-01,3997.0
2002-11-08,4034.6
2002-11-15,4091.6
2002-11-22,4175.2
2002-11-29,4169.4
2002-12-06,4013.5
2002-12-13,3878.1
2002-12-20,3889.9
2002-12-27,3829.4
2003-01-03,4004.9
2003-01-10,3974.1
2003-01-17,3820.6
2003-01-24,3603.7
2003-01-31,3567.4
2003-02-07,3599.2
2003-02-14,3611.9
2003-02-21,3727.1
2003-02-28,3655.6
2003-03-07,3491.6
2003-03-14,3601.8
2003-03-21,3861.1
2003-03-28,3708.5
2003-04-04,3814.4
2003-04-11,3808.1
2003-04-18,3889.2
2003-04-25,3870.2
2003-05-02,3952.6
2003-05-09,3969.4
2003-05-16,4049.0
2003-05-23,3979.8
2003-05-30,4048.1
2003-06-06,4150.8
2003-06-13,4134.1
2003-06-20,4160.1
2003-06-27,4067.8
