date,INTL_US10Y
2001-01-05,4.931
2001-01-12,5.25
2001-01-19,5.168
2001-01-26,5.268
2001-02-02,5.148
2001-02-09,5.03
2001-02-16,5.109
2001-02-23,5.097
2001-03-02,4.947
2001-03-09,4.929
2001-03-16,4.77
2001-03-23,4.815
2001-03-30,4.917
2001-04-06,4.89
2001-04-13,5.163
2001-04-20,5.288
2001-04-27,5.328
2001-05-04,5.205
2001-05-11,5.447
2001-05-18,5.405
2001-05-25,5.511
2001-06-01,5.364
2001-06-08,5.356
2001-06-15,5.232
2001-06-22,5.115
2001-06-29,5.412
2001-07-06,5.359
2001-07-13,5.217
2001-07-20,5.129
2001-07-27,5.098
2001-08-03,5.157
2001-08-10,4.98
2001-08-17,4.839
2001-08-24,4.922
2001-08-31,4.832
2001-09-07,4.79
2001-09-14,4.553
2001-09-21,4.691
2001-09-28,4.588
2001-10-05,4.504
2001-10-12,4.669
2001-10-19,4.621
2001-10-26,4.529
2001-11-02,4.358
2001-11-09,4.303
2001-11-16,4.843
2001-11-23,4.987
2001-11-30,4.752
2001-12-07,5.167
2001-12-14,5.188
2001-12-21,5.084
2001-12-28,5.113
2002-01-04,5.128
2002-01-11,4.866
2002-01-18,4.894
2002-01-25,5.071
2002-02-01,4.985
2002-02-08,4.879
2002-02-15,4.875
2002-02-22,4.831
2002-03-01,4.981
2002-03-08,5.325
2002-03-15,5.327
2002-03-22,5.404
2002-03-29,5.396
2002-04-05,5.206
2002-04-12,5.156
2002-04-19,5.1962
2002-04-26,5.0537
2002-05-03,5.054
2002-05-10,5.1163
2002-05-17,5.2506
2002-05-24,5.1443
2002-05-31,5.0427
2002-06-07,5.0658
2002-06-14,4.7967
2002-06-21,4.7661
2002-06-28,4.7965
2002-07-05,4.856
2002-07-12,4.5718
2002-07-19,4.5194
2002-07-26,4.3817
2002-08-02,4.2904
2002-08-09,4.255
2002-08-16,4.3244
2002-08-23,4.2334
2002-08-30,4.1409
2002-09-06,4.0113
2002-09-13,3.9052
2002-09-20,3.785
2002-09-27,3.6584
2002-10-04,3.6646
2002-10-11,3.7782
2002-10-18,4.1053
2002-10-25,4.0914
2002-11-01,4.0045
2002-11-08,3.8558
2002-11-15,4.0287
2002-11-22,4.1776
2002-11-29,4.2052
2002-12-06,4.0827
2002-12-13,4.0672
2002-12-20,3.9573
2002-12-27,3.8083
2003-01-03,4.0169
2003-01-10,4.132
2003-01-17,4.0091
2003-01-24,3.9278
2003-01-31,3.9625
2003-02-07,3.9294
2003-02-14,3.961
2003-02-21,3.8882
2003-02-28,3.6897
2003-03-07,3.6406
2003-03-14,3.7002
2003-03-21,4.1031
2003-03-28,3.8976
2003-04-04,3.9517
2003-04-11,3.9712
2003-04-18,3.9558
2003-04-25,3.888
2003-05-02,3.919
2003-05-09,3.6796
2003-05-16,3.4185
2003-05-23,3.3354
2003-05-30,3.3699
2003-06-06,3.351
2003-06-13,3.1121
2003-06-20,3.3648
2003-06-27,3.5415
2003-07-04,3.6474
2003-07-11,3.6265
2003-07-18,3.9989
2003-07-25,4.175
2003-08-01,4.3834
2003-08-08,4.2694
2003-08-15,4.5285
2003-08-22,4.4732
2003-08-29,4.4636
2003-09-05,4.3474
2003-09-12,4.2516
2003-09-19,4.1602
2003-09-26,4.0005
2003-10-03,4.1987
2003-10-10,4.269
2003-10-17,4.3876
2003-10-24,4.2297
2003-10-31,4.2927
2003-11-07,4.4383
2003-11-14,4.2171
2003-11-21,4.1592
2003-11-28,4.3316
2003-12-05,4.2303
2003-12-12,4.2379
2003-12-19,4.1332
2003-12-26,4.1503
2004-01-02,4.3794
2004-01-09,4.0803
2004-01-16,4.0299
2004-01-23,4.072
2004-01-30,4.1319
2004-02-06,4.0772
2004-02-13,4.0402
2004-02-20,4.0961
2004-02-27,3.9711
2004-03-05,3.8491
2004-03-12,3.777
2004-03-19,3.771
2004-03-26,3.8292
2004-04-02,4.1435
2004-04-09,4.1909
2004-04-16,4.3383
2004-04-23,4.4578
2004-04-30,4.5053
2004-05-07,4.7709
2004-05-14,4.7678
2004-05-21,4.7558
2004-05-28,4.6468
2004-06-04,4.7715
2004-06-11,4.7995
2004-06-18,4.7096
2004-06-25,4.6459
2004-07-02,4.4589
2004-07-09,4.4565
2004-07-16,4.3491
2004-07-23,4.4301
2004-07-30,4.4747
2004-08-06,4.2196
2004-08-13,4.2268
2004-08-20,4.2325
2004-08-27,4.2265
2004-09-03,4.2945
2004-09-10,4.1856
2004-09-17,4.1064
2004-09-24,4.0273
2004-10-01,4.1871
2004-10-08,4.1286
2004-10-15,4.0531
2004-10-22,3.974
2004-10-29,4.0235
2004-11-05,4.1727
2004-11-12,4.1786
2004-11-19,4.2035
2004-11-26,4.2459
2004-12-03,4.2497
2004-12-10,4.1489
2004-12-17,4.199
2004-12-24,4.2144
2004-12-31,4.2182
2005-01-07,4.269
2005-01-14,4.208
2005-01-21,4.1399
2005-01-28,4.1397
2005-02-04,4.0753
2005-02-11,4.0844
2005-02-18,4.2655
2005-02-25,4.2638
2005-03-04,4.3076
2005-03-11,4.5423
2005-03-18,4.5066
2005-03-25,4.5929
2005-04-01,4.4475
2005-04-08,4.4683
