statement_date,driver,identified_exact,identified_quarter,parse_failed,confidence
2005-02-02,curve_slope,0,0,1,
2005-02-02,inflation,0,0,0,0.52
2005-02-02,inflation_expectations,0,0,0,0.4
2005-02-02,labor_tightness,0,0,1,
2005-02-02,term_premium,0,0,1,
2005-03-22,curve_slope,0,0,1,
2005-03-22,inflation,0,0,0,0.82
2005-03-22,inflation_expectations,0,0,1,
2005-03-22,labor_tightness,0,0,1,
2005-03-22,term_premium,0,0,1,
2005-05-03,curve_slope,0,0,1,
2005-05-03,inflation,0,0,0,0.72
2005-05-03,inflation_expectations,0,0,1,
2005-05-03,labor_tightness,0,0,1,
2005-05-03,term_premium,0,0,1,
2005-06-30,curve_slope,0,0,1,
2005-06-30,inflation,0,0,0,0.72
2005-06-30,inflation_expectations,0,0,1,
2005-06-30,labor_tightness,0,0,1,
2005-06-30,term_premium,0,0,1,
2005-08-09,curve_slope,1,1,0,0.95
2005-08-09,inflation,0,0,1,
2005-08-09,inflation_expectations,0,0,1,
2005-08-09,labor_tightness,0,0,1,
2005-08-09,term_premium,0,0,1,
2005-09-20,curve_slope,1,1,0,0.98
2005-09-20,inflation,1,1,0,0.97
2005-09-20,inflation_expectations,0,0,1,
2005-09-20,labor_tightness,1,1,0,0.97
2005-09-20,term_premium,0,0,0,0.52
2005-11-01,curve_slope,1,1,0,0.97
2005-11-01,inflation,1,1,0,0.92
2005-11-01,inflation_expectations,0,0,1,
2005-11-01,labor_tightness,1,1,0,0.88
2005-11-01,term_premium,0,0,1,
2005-12-13,curve_slope,1,1,0,0.97
2005-12-13,inflation,0,1,0,0.92
2005-12-13,inflation_expectations,0,0,1,
2005-12-13,labor_tightness,0,1,0,0.85
2005-12-13,term_premium,0,0,1,
2006-01-31,curve_slope,1,1,0,0.95
2006-01-31,inflation,0,0,1,
2006-01-31,inflation_expectations,0,0,0,0.25
2006-01-31,term_premium,0,0,0,0.25
2006-03-28,curve_slope,1,1,0,0.97
2006-03-28,inflation,0,0,1,
2006-03-28,inflation_expectations,0,0,1,
2006-03-28,labor_tightness,0,0,1,
2006-03-28,term_premium,0,0,1,
2006-05-10,curve_slope,1,1,0,0.95
2006-05-10,inflation,0,0,0,0.82
2006-05-10,inflation_expectations,0,0,0,0.35
2006-05-10,labor_tightness,0,0,1,
2006-06-29,curve_slope,1,1,0,0.95
2006-06-29,inflation,1,1,0,0.85
2006-06-29,inflation_expectations,0,0,1,
2006-06-29,labor_tightness,0,0,1,
2006-08-08,curve_slope,1,1,0,0.93
2006-08-08,inflation,0,0,1,
2006-08-08,inflation_expectations,0,0,0,0.52
2006-08-08,labor_tightness,0,0,1,
2006-09-20,curve_slope,0,0,1,
2006-09-20,inflation,0,0,0,0.72
2006-09-20,inflation_expectations,0,0,1,
2006-10-25,curve_slope,1,1,0,0.72
2006-10-25,inflation,1,1,0,0.72
2006-10-25,inflation_expectations,0,0,0,0.52
2006-12-12,curve_slope,0,1,0,0.72
2006-12-12,inflation,0,0,1,
2006-12-12,inflation_expectations,0,0,1,
2007-01-31,curve_slope,1,1,0,0.72
2007-01-31,inflation,0,0,1,
2007-01-31,inflation_expectations,0,0,1,
2007-03-21,curve_slope,0,0,0,0.52
2007-03-21,inflation,0,0,0,0.72
2007-05-09,curve_slope,0,0,0,0.52
2007-05-09,inflation,0,0,0,0.72
2007-06-28,curve_slope,0,0,1,
2007-06-28,inflation,0,0,0,0.72
2007-08-07,curve_slope,0,0,0,0.62
2007-08-07,financial_conditions,0,1,0,0.72
2007-08-07,inflation,0,0,0,0.82
2007-08-07,labor_tightness,0,0,1,
2007-09-18,curve_slope,1,1,0,0.97
2007-09-18,financial_conditions,0,0,1,
2007-09-18,inflation,0,0,0,0.82
2007-09-18,labor_tightness,0,0,1,
2007-10-31,curve_slope,1,1,0,0.97
2007-10-31,financial_conditions,1,1,0,0.95
2007-10-31,inflation,0,0,0,0.82
2007-12-11,curve_slope,1,1,0,0.97
2007-12-11,financial_conditions,0,0,1,
2007-12-11,inflation,0,0,1,
2008-01-30,curve_slope,1,1,0,0.97
2008-01-30,financial_conditions,0,0,0,0.82
2008-01-30,inflation,0,0,1,
2008-01-30,labor_tightness,1,1,0,0.85
